Library name,Module set,Work shift,Percentage gap,Optimal
FDA.04.01,LAB-2,False,60.9,True
FDA.04.02,LAB-1,False,56.0,True
FDA.04.02,LAB-2,False,56.0,True
FDA.04.03,LAB-1,False,53.3,False
FDA.04.03,LAB-2,False,57.7,True
FDA.04.04,LAB-1,False,54.4,False
FDA.04.04,LAB-2,False,55.7,True
FDA.04.05,LAB-1,False,55.6,False
FDA.04.05,LAB-2,False,56.6,True
FDA.04.06,LAB-1,False,57.6,False
FDA.04.06,LAB-2,False,59.1,True
FDA.04.07,LAB-1,False,52.6,False
FDA.04.07,LAB-2,False,53.6,True
FDA.04.08,LAB-1,False,45.2,True
FDA.04.08,LAB-2,False,42.1,True
FDA.04.09,LAB-1,False,61.7,False
FDA.04.09,LAB-2,False,61.7,True
FDA.04.10,LAB-1,False,50.6,True
FDA.04.10,LAB-2,False,50.6,True
FDA.05.01,LAB-1,False,60.1,False
FDA.05.01,LAB-2,False,62.6,True
FDA.05.02,LAB-1,False,62.2,False
FDA.05.02,LAB-2,False,65.7,True
FDA.05.03,LAB-1,False,61.8,False
FDA.05.03,LAB-2,False,67.0,False
FDA.05.04,LAB-1,False,64.2,False
FDA.05.04,LAB-2,False,69.0,True
FDA.05.05,LAB-1,False,57.1,False
FDA.05.05,LAB-2,False,59.8,True
FDA.05.06,LAB-1,False,63.0,False
FDA.05.06,LAB-2,False,68.8,True
FDA.05.07,LAB-1,False,54.5,True
FDA.05.07,LAB-2,False,54.0,True
FDA.05.08,LAB-1,False,54.3,True
FDA.05.08,LAB-2,False,54.8,True
FDA.05.09,LAB-1,False,52.5,True
FDA.05.09,LAB-2,False,56.4,True
FDA.05.10,LAB-1,False,62.0,False
FDA.05.10,LAB-2,False,68.3,True
FDA.06.01,LAB-1,False,62.3,False
FDA.06.01,LAB-2,False,70.5,False
FDA.06.02,LAB-1,False,62.8,False
FDA.06.02,LAB-2,False,70.4,False
FDA.06.03,LAB-1,False,61.8,False
FDA.06.03,LAB-2,False,63.7,True
FDA.06.04,LAB-1,False,58.9,False
FDA.06.04,LAB-2,False,68.3,False
FDA.06.05,LAB-1,False,62.6,False
FDA.06.05,LAB-2,False,67.4,False
FDA.06.06,LAB-1,False,49.3,True
FDA.06.06,LAB-2,False,49.3,True
FDA.06.07,LAB-1,False,62.6,False
FDA.06.07,LAB-2,False,69.8,False
FDA.06.08,LAB-1,False,54.9,False
FDA.06.08,LAB-2,False,57.9,True
FDA.06.09,LAB-1,False,56.5,False
FDA.06.09,LAB-2,False,57.1,True
FDA.06.10,LAB-1,False,61.6,False
FDA.06.10,LAB-2,False,68.7,False
FDA.07.01,LAB-1,False,57.9,False
FDA.07.01,LAB-2,False,65.7,False
FDA.07.02,LAB-1,False,45.7,True
FDA.07.02,LAB-2,False,44.7,True
FDA.07.03,LAB-1,False,63.4,False
FDA.07.03,LAB-2,False,64.8,True
FDA.07.04,LAB-1,False,60.3,False
FDA.07.04,LAB-2,False,67.6,True
FDA.07.05,LAB-1,False,62.2,False
FDA.07.05,LAB-2,False,70.5,False
FDA.07.06,LAB-1,False,59.6,False
FDA.07.06,LAB-2,False,67.1,True
FDA.07.07,LAB-1,False,59.9,False
FDA.07.07,LAB-2,False,70.2,False
FDA.07.08,LAB-1,False,60.7,False
FDA.07.08,LAB-2,False,66.9,False
FDA.07.09,LAB-1,False,60.5,False
FDA.07.09,LAB-2,False,71.0,False
FDA.07.10,LAB-1,False,54.0,False
FDA.07.10,LAB-2,False,63.6,False
FDA.08.01,LAB-1,False,61.5,False
FDA.08.01,LAB-2,False,73.4,False
FDA.08.02,LAB-1,False,58.6,False
FDA.08.02,LAB-2,False,67.1,True
FDA.08.03,LAB-1,False,56.4,False
FDA.08.03,LAB-2,False,68.4,False
FDA.08.04,LAB-1,False,58.5,False
FDA.08.04,LAB-2,False,71.1,False
FDA.08.05,LAB-1,False,60.0,False
FDA.08.05,LAB-2,False,68.9,False
FDA.08.06,LAB-1,False,64.0,False
FDA.08.06,LAB-2,False,74.3,False
FDA.08.07,LAB-1,False,56.1,False
FDA.08.07,LAB-2,False,68.0,False
FDA.08.08,LAB-1,False,57.5,False
FDA.08.08,LAB-2,False,69.4,False
FDA.08.09,LAB-1,False,60.4,False
FDA.08.09,LAB-2,False,69.1,False
FDA.08.10,LAB-1,False,54.0,False
FDA.08.10,LAB-2,False,66.6,False
FDA.09.01,LAB-1,False,56.4,False
FDA.09.01,LAB-2,False,71.2,False
FDA.09.02,LAB-1,False,61.0,False
FDA.09.02,LAB-2,False,73.9,False
FDA.09.03,LAB-1,False,60.0,False
FDA.09.03,LAB-2,False,70.7,False
FDA.09.04,LAB-1,False,60.8,False
FDA.09.04,LAB-2,False,70.4,False
FDA.09.05,LAB-1,False,61.0,False
FDA.09.05,LAB-2,False,72.7,False
FDA.09.06,LAB-1,False,62.4,False
FDA.09.06,LAB-2,False,73.0,False
FDA.09.07,LAB-1,False,63.0,False
FDA.09.07,LAB-2,False,73.9,False
FDA.09.08,LAB-1,False,60.8,False
FDA.09.08,LAB-2,False,71.3,False
FDA.09.09,LAB-1,False,54.7,False
FDA.09.09,LAB-2,False,70.6,False
FDA.09.10,LAB-1,False,56.0,False
FDA.09.10,LAB-2,False,70.1,False
FDA.01.01,LAB-1,True,0.0,True
FDA.01.01,LAB-2,True,0.0,True
FDA.01.02,LAB-1,True,0.0,True
FDA.01.02,LAB-2,True,0.0,True
FDA.01.03,LAB-1,True,0.4,True
FDA.01.03,LAB-2,True,0.4,True
FDA.01.04,LAB-1,True,0.0,True
FDA.01.04,LAB-2,True,0.0,True
FDA.01.05,LAB-1,True,19.1,True
FDA.01.05,LAB-2,True,19.1,True
FDA.01.06,LAB-1,True,24.5,True
FDA.01.06,LAB-2,True,24.5,True
FDA.01.07,LAB-1,True,0.0,True
FDA.01.07,LAB-2,True,0.0,True
FDA.01.08,LAB-1,True,0.0,True
FDA.01.08,LAB-2,True,0.0,True
FDA.01.09,LAB-1,True,0.0,True
FDA.01.09,LAB-2,True,0.0,True
FDA.01.10,LAB-1,True,0.5,True
FDA.01.10,LAB-2,True,0.5,True
FDA.02.01,LAB-1,True,41.5,True
FDA.02.01,LAB-2,True,41.5,True
FDA.02.02,LAB-1,True,45.1,True
FDA.02.02,LAB-2,True,29.1,True
FDA.02.03,LAB-1,True,23.1,True
FDA.02.03,LAB-2,True,23.1,True
FDA.02.04,LAB-1,True,10.5,True
FDA.02.04,LAB-2,True,10.5,True
FDA.02.05,LAB-1,True,24.4,True
FDA.02.05,LAB-2,True,24.4,True
FDA.02.06,LAB-1,True,0.0,True
FDA.02.06,LAB-2,True,0.0,True
FDA.02.07,LAB-1,True,41.9,True
FDA.02.07,LAB-2,True,41.9,True
FDA.02.08,LAB-1,True,48.3,True
FDA.02.08,LAB-2,True,48.3,True
FDA.02.09,LAB-1,True,27.2,True
FDA.02.09,LAB-2,True,27.2,True
FDA.02.10,LAB-1,True,0.0,True
FDA.02.10,LAB-2,True,0.0,True
FDA.03.01,LAB-1,True,48.2,True
FDA.03.01,LAB-2,True,39.3,True
FDA.03.02,LAB-1,True,40.4,True
FDA.03.02,LAB-2,True,40.4,True
FDA.03.03,LAB-1,True,44.2,True
FDA.03.03,LAB-2,True,45.3,True
FDA.03.04,LAB-1,True,36.6,True
FDA.03.04,LAB-2,True,36.6,True
FDA.03.05,LAB-1,True,45.3,True
FDA.03.05,LAB-2,True,45.3,True
FDA.03.06,LAB-1,True,38.9,True
FDA.03.06,LAB-2,True,34.6,True
FDA.03.07,LAB-1,True,59.5,True
FDA.03.07,LAB-2,True,66.0,True
FDA.03.08,LAB-1,True,62.3,True
FDA.03.08,LAB-2,True,64.2,True
FDA.03.09,LAB-1,True,52.3,True
FDA.03.09,LAB-2,True,55.2,True
FDA.03.10,LAB-1,True,40.9,True
FDA.03.10,LAB-2,True,40.9,True
FDA.04.01,LAB-1,True,60.7,True
FDA.04.01,LAB-2,True,60.7,True
FDA.04.02,LAB-1,True,63.8,True
FDA.04.02,LAB-2,True,63.8,True
FDA.04.03,LAB-1,True,52.2,True
FDA.04.03,LAB-2,True,61.4,True
FDA.04.04,LAB-1,True,55.2,True
FDA.04.04,LAB-2,True,55.2,True
FDA.04.05,LAB-1,True,56.3,False
FDA.04.05,LAB-2,True,59.0,True
FDA.04.06,LAB-1,True,57.5,False
FDA.04.06,LAB-2,True,58.1,True
FDA.04.07,LAB-1,True,51.3,True
FDA.04.07,LAB-2,True,51.3,True
FDA.04.08,LAB-1,True,44.2,True
FDA.04.08,LAB-2,True,44.2,True
FDA.04.09,LAB-1,True,62.4,True
FDA.04.09,LAB-2,True,65.9,True
FDA.04.10,LAB-1,True,55.1,True
FDA.04.10,LAB-2,True,55.1,True
FDA.05.01,LAB-1,True,59.9,True
FDA.05.01,LAB-2,True,59.9,True
FDA.05.02,LAB-1,True,66.2,False
FDA.05.02,LAB-2,True,65.2,True
FDA.05.03,LAB-1,True,63.3,False
FDA.05.03,LAB-2,True,70.1,True
FDA.05.04,LAB-1,True,65.3,False
FDA.05.04,LAB-2,True,72.6,True
FDA.05.05,LAB-1,True,62.5,False
FDA.05.05,LAB-2,True,64.2,True
FDA.05.06,LAB-1,True,66.4,False
FDA.05.06,LAB-2,True,70.2,True
FDA.05.07,LAB-1,True,52.8,False
FDA.05.07,LAB-2,True,62.4,True
FDA.05.08,LAB-1,True,54.9,True
FDA.05.08,LAB-2,True,54.9,True
FDA.05.09,LAB-1,True,61.3,False
FDA.05.09,LAB-2,True,64.1,True
FDA.05.10,LAB-1,True,65.4,False
FDA.05.10,LAB-2,True,67.9,True
FDA.06.01,LAB-1,True,65.1,False
FDA.06.01,LAB-2,True,71.9,True
FDA.06.02,LAB-1,True,67.8,False
FDA.06.02,LAB-2,True,72.9,False
FDA.06.03,LAB-1,True,63.6,False
FDA.06.03,LAB-2,True,66.4,True
FDA.06.04,LAB-1,True,62.7,False
FDA.06.04,LAB-2,True,70.7,False
FDA.06.05,LAB-1,True,66.2,False
FDA.06.05,LAB-2,True,66.9,True
FDA.06.06,LAB-1,True,46.0,True
FDA.06.06,LAB-2,True,44.2,True
FDA.06.07,LAB-1,True,63.6,False
FDA.06.07,LAB-2,True,71.9,False
FDA.06.08,LAB-1,True,59.1,True
FDA.06.08,LAB-2,True,60.0,True
FDA.06.09,LAB-1,True,61.5,True
FDA.06.09,LAB-2,True,58.3,True
FDA.06.10,LAB-1,True,64.4,False
FDA.06.10,LAB-2,True,69.7,True
FDA.07.01,LAB-1,True,63.6,False
FDA.07.01,LAB-2,True,69.8,True
FDA.07.02,LAB-1,True,52.0,True
FDA.07.02,LAB-2,True,48.9,True
FDA.07.03,LAB-1,True,66.0,False
FDA.07.03,LAB-2,True,66.1,True
FDA.07.04,LAB-1,True,65.3,False
FDA.07.04,LAB-2,True,70.4,True
FDA.07.05,LAB-1,True,68.0,False
FDA.07.05,LAB-2,True,73.0,False
FDA.07.06,LAB-1,True,65.6,False
FDA.07.06,LAB-2,True,67.5,True
FDA.07.07,LAB-1,True,64.0,False
FDA.07.07,LAB-2,True,73.2,True
FDA.07.08,LAB-1,True,61.4,False
FDA.07.08,LAB-2,True,68.1,True
FDA.07.09,LAB-1,True,62.5,False
FDA.07.09,LAB-2,True,71.8,False
FDA.07.10,LAB-1,True,59.7,False
FDA.07.10,LAB-2,True,65.6,True
FDA.08.01,LAB-1,True,-498.4,False
FDA.08.01,LAB-2,True,-812.9,False
FDA.08.02,LAB-1,True,62.9,False
FDA.08.02,LAB-2,True,70.2,True
FDA.08.03,LAB-1,True,61.3,False
FDA.08.03,LAB-2,True,72.6,False
FDA.08.04,LAB-1,True,59.5,False
FDA.08.04,LAB-2,True,72.2,False
FDA.08.05,LAB-1,True,63.1,False
FDA.08.05,LAB-2,True,72.3,False
FDA.08.06,LAB-1,True,N/A,False
FDA.08.06,LAB-2,True,76.3,False
FDA.08.07,LAB-1,True,57.1,False
FDA.08.07,LAB-2,True,72.1,False
FDA.08.08,LAB-1,True,57.2,False
FDA.08.08,LAB-2,True,72.3,False
FDA.08.09,LAB-1,True,61.2,False
FDA.08.09,LAB-2,True,71.8,False
FDA.08.10,LAB-1,True,59.5,False
FDA.08.10,LAB-2,True,67.1,False
FDA.09.01,LAB-1,True,62.6,False
FDA.09.01,LAB-2,True,N/A,False
FDA.09.02,LAB-1,True,N/A,False
FDA.09.02,LAB-2,True,-112.4,False
FDA.09.03,LAB-1,True,60.3,False
FDA.09.03,LAB-2,True,72.6,False
FDA.09.04,LAB-1,True,65.8,False
FDA.09.04,LAB-2,True,74.0,False
FDA.09.05,LAB-1,True,-359.0,False
FDA.09.05,LAB-2,True,N/A,False
FDA.09.06,LAB-1,True,N/A,False
FDA.09.06,LAB-2,True,75.2,False
FDA.09.07,LAB-1,True,N/A,False
FDA.09.07,LAB-2,True,-619.9,False
FDA.09.08,LAB-1,True,65.2,False
FDA.09.08,LAB-2,True,71.7,False
FDA.09.09,LAB-1,True,57.7,False
FDA.09.09,LAB-2,True,70.8,False
FDA.09.10,LAB-1,True,N/A,False
FDA.09.10,LAB-2,True,71.6,False
VS.01.01,LAB-1,False,4.0,True
VS.01.01,LAB-2,False,4.0,True
VS.01.02,LAB-1,False,0.4,True
VS.01.02,LAB-2,False,0.4,True
VS.01.03,LAB-1,False,1.7,True
VS.01.03,LAB-2,False,1.7,True
VS.01.04,LAB-1,False,0.4,True
VS.01.04,LAB-2,False,0.4,True
VS.01.05,LAB-1,False,4.2,True
VS.01.05,LAB-2,False,4.2,True
VS.01.06,LAB-1,False,4.3,True
VS.01.06,LAB-2,False,4.3,True
VS.01.07,LAB-1,False,7.3,True
VS.01.07,LAB-2,False,7.3,True
VS.01.08,LAB-1,False,21.0,True
VS.01.08,LAB-2,False,21.0,True
VS.01.09,LAB-1,False,18.4,True
VS.01.09,LAB-2,False,13.6,True
VS.01.10,LAB-1,False,12.5,True
VS.01.10,LAB-2,False,12.5,True
VS.02.01,LAB-1,False,23.8,True
VS.02.01,LAB-2,False,23.8,True
VS.02.02,LAB-1,False,45.9,True
VS.02.02,LAB-2,False,46.2,True
VS.02.03,LAB-1,False,50.7,True
VS.02.03,LAB-2,False,50.8,True
VS.02.04,LAB-1,False,25.5,True
VS.02.04,LAB-2,False,25.5,True
VS.02.05,LAB-1,False,36.6,True
VS.02.05,LAB-2,False,38.1,True
VS.02.06,LAB-1,False,32.3,True
VS.02.06,LAB-2,False,30.6,True
VS.02.07,LAB-1,False,33.0,True
VS.02.07,LAB-2,False,33.0,True
VS.02.08,LAB-1,False,26.3,True
VS.02.08,LAB-2,False,26.3,True
VS.02.09,LAB-1,False,49.5,True
VS.02.09,LAB-2,False,51.8,True
VS.02.10,LAB-1,False,24.9,True
VS.02.10,LAB-2,False,24.9,True
VS.03.01,LAB-1,False,44.4,True
VS.03.01,LAB-2,False,44.3,True
VS.03.02,LAB-1,False,45.4,True
VS.03.02,LAB-2,False,41.9,True
VS.03.03,LAB-1,False,47.6,True
VS.03.03,LAB-2,False,46.6,True
VS.03.04,LAB-1,False,42.7,False
VS.03.04,LAB-2,False,46.7,False
VS.03.05,LAB-1,False,41.7,True
VS.03.05,LAB-2,False,41.6,True
VS.03.06,LAB-1,False,48.5,True
VS.03.06,LAB-2,False,50.3,True
VS.03.07,LAB-1,False,51.9,True
VS.03.07,LAB-2,False,52.4,True
VS.03.08,LAB-1,False,42.7,False
VS.03.08,LAB-2,False,48.8,True
VS.03.09,LAB-1,False,54.2,True
VS.03.09,LAB-2,False,52.1,True
VS.03.10,LAB-1,False,51.8,True
VS.03.10,LAB-2,False,56.1,True
VS.04.01,LAB-1,False,50.4,False
VS.04.01,LAB-2,False,58.1,True
VS.04.02,LAB-1,False,50.0,False
VS.04.02,LAB-2,False,55.6,True
VS.04.03,LAB-1,False,54.9,False
VS.04.03,LAB-2,False,61.0,True
VS.04.04,LAB-1,False,57.0,False
VS.04.04,LAB-2,False,61.8,True
VS.04.05,LAB-1,False,53.6,False
VS.04.05,LAB-2,False,58.7,True
VS.04.06,LAB-1,False,38.6,True
VS.04.06,LAB-2,False,34.8,True
VS.04.07,LAB-1,False,57.4,False
VS.04.07,LAB-2,False,59.7,True
VS.04.08,LAB-1,False,55.0,False
VS.04.08,LAB-2,False,61.9,True
VS.04.09,LAB-1,False,54.5,False
VS.04.09,LAB-2,False,53.7,True
VS.04.10,LAB-1,False,57.7,False
VS.04.10,LAB-2,False,61.6,True
VS.05.01,LAB-1,False,56.7,False
VS.05.01,LAB-2,False,62.1,True
VS.05.02,LAB-1,False,59.2,False
VS.05.02,LAB-2,False,61.5,False
VS.05.03,LAB-1,False,56.0,False
VS.05.03,LAB-2,False,66.8,False
VS.05.04,LAB-1,False,61.7,False
VS.05.04,LAB-2,False,71.9,False
VS.05.05,LAB-1,False,55.6,False
VS.05.05,LAB-2,False,60.2,True
VS.05.06,LAB-1,False,60.6,False
VS.05.06,LAB-2,False,67.0,False
VS.05.07,LAB-1,False,59.6,False
VS.05.07,LAB-2,False,68.5,False
VS.05.08,LAB-1,False,50.7,False
VS.05.08,LAB-2,False,63.6,False
VS.05.09,LAB-1,False,53.8,False
VS.05.09,LAB-2,False,64.6,False
VS.05.10,LAB-1,False,48.4,False
VS.05.10,LAB-2,False,62.2,False
VS.06.01,LAB-1,False,54.8,False
VS.06.01,LAB-2,False,68.0,True
VS.06.02,LAB-1,False,57.7,False
VS.06.02,LAB-2,False,71.3,False
VS.06.03,LAB-1,False,56.0,False
VS.06.03,LAB-2,False,60.3,True
VS.06.04,LAB-1,False,56.4,False
VS.06.04,LAB-2,False,67.9,True
VS.06.05,LAB-1,False,47.4,False
VS.06.05,LAB-2,False,60.8,False
VS.06.06,LAB-1,False,59.4,False
VS.06.06,LAB-2,False,70.9,True
VS.06.07,LAB-1,False,51.6,False
VS.06.07,LAB-2,False,64.3,False
VS.06.08,LAB-1,False,54.4,False
VS.06.08,LAB-2,False,65.9,False
VS.06.09,LAB-1,False,52.2,False
VS.06.09,LAB-2,False,63.2,True
VS.06.10,LAB-1,False,56.5,False
VS.06.10,LAB-2,False,67.1,False
VS.07.01,LAB-1,False,57.6,False
VS.07.01,LAB-2,False,70.0,False
VS.07.02,LAB-1,False,51.2,False
VS.07.02,LAB-2,False,67.1,False
VS.07.03,LAB-1,False,55.8,False
VS.07.03,LAB-2,False,66.4,False
VS.07.04,LAB-1,False,54.3,False
VS.07.04,LAB-2,False,67.6,False
VS.07.05,LAB-1,False,52.0,False
VS.07.05,LAB-2,False,64.9,False
VS.07.06,LAB-1,False,57.1,False
VS.07.06,LAB-2,False,70.3,False
VS.07.07,LAB-1,False,57.2,False
VS.07.07,LAB-2,False,71.7,False
VS.07.08,LAB-1,False,57.3,False
VS.07.08,LAB-2,False,70.7,False
VS.07.09,LAB-1,False,56.6,False
VS.07.09,LAB-2,False,68.9,False
VS.07.10,LAB-1,False,53.9,False
VS.07.10,LAB-2,False,67.2,False
VS.08.01,LAB-1,False,49.3,False
VS.08.01,LAB-2,False,63.4,False
VS.08.02,LAB-1,False,50.6,False
VS.08.02,LAB-2,False,65.9,False
VS.08.03,LAB-1,False,53.1,False
VS.08.03,LAB-2,False,70.1,False
VS.08.04,LAB-1,False,53.4,False
VS.08.04,LAB-2,False,63.6,False
VS.08.05,LAB-1,False,54.4,False
VS.08.05,LAB-2,False,47.0,False
VS.08.06,LAB-1,False,53.5,False
VS.08.06,LAB-2,False,67.5,False
VS.08.07,LAB-1,False,56.0,False
VS.08.07,LAB-2,False,70.1,False
VS.08.08,LAB-1,False,53.4,False
VS.08.08,LAB-2,False,61.7,False
VS.08.09,LAB-1,False,55.5,False
VS.08.09,LAB-2,False,68.5,False
VS.08.10,LAB-1,False,59.8,False
VS.08.10,LAB-2,False,73.0,False
VS.09.01,LAB-1,False,53.9,False
VS.09.01,LAB-2,False,67.8,False
VS.09.02,LAB-1,False,54.5,False
VS.09.02,LAB-2,False,62.9,False
VS.09.03,LAB-1,False,52.6,False
VS.09.03,LAB-2,False,68.7,False
VS.09.04,LAB-1,False,50.9,False
VS.09.04,LAB-2,False,65.2,False
VS.09.05,LAB-1,False,56.6,False
VS.09.05,LAB-2,False,67.2,False
VS.09.06,LAB-1,False,55.5,False
VS.09.06,LAB-2,False,N/A,False
VS.09.07,LAB-1,False,54.4,False
VS.09.07,LAB-2,False,67.2,False
VS.09.08,LAB-1,False,50.0,False
VS.09.08,LAB-2,False,61.2,False
VS.09.09,LAB-1,False,51.5,False
VS.09.09,LAB-2,False,69.2,False
VS.09.10,LAB-1,False,59.0,False
VS.09.10,LAB-2,False,67.1,False
VS.01.01,LAB-1,True,0.0,True
VS.01.01,LAB-2,True,0.0,True
VS.01.02,LAB-1,True,0.0,True
VS.01.02,LAB-2,True,0.0,True
VS.01.03,LAB-1,True,0.0,True
VS.01.03,LAB-2,True,0.0,True
VS.01.04,LAB-1,True,0.0,True
VS.01.04,LAB-2,True,0.0,True
VS.01.05,LAB-1,True,0.0,True
VS.01.05,LAB-2,True,0.0,True
VS.01.06,LAB-1,True,0.0,True
VS.01.06,LAB-2,True,0.0,True
VS.01.07,LAB-1,True,5.9,True
VS.01.07,LAB-2,True,5.9,True
VS.01.08,LAB-1,True,0.2,True
VS.01.08,LAB-2,True,13.0,True
VS.01.09,LAB-1,True,18.8,True
VS.01.09,LAB-2,True,6.8,True
VS.01.10,LAB-1,True,10.4,True
VS.01.10,LAB-2,True,10.4,True
VS.02.01,LAB-1,True,22.0,True
VS.02.01,LAB-2,True,22.0,True
VS.02.02,LAB-1,True,48.0,True
VS.02.02,LAB-2,True,49.1,True
VS.02.03,LAB-1,True,49.3,True
VS.02.03,LAB-2,True,51.1,True
VS.02.04,LAB-1,True,30.0,True
VS.02.04,LAB-2,True,30.0,True
VS.02.05,LAB-1,True,37.5,True
VS.02.05,LAB-2,True,37.5,True
VS.02.06,LAB-1,True,30.1,True
VS.02.06,LAB-2,True,29.2,True
VS.02.07,LAB-1,True,27.4,True
VS.02.07,LAB-2,True,27.4,True
VS.02.08,LAB-1,True,30.5,True
VS.02.08,LAB-2,True,30.5,True
VS.02.09,LAB-1,True,50.4,True
VS.02.09,LAB-2,True,51.3,True
VS.02.10,LAB-1,True,30.9,True
VS.02.10,LAB-2,True,30.9,True
VS.03.01,LAB-1,True,46.0,True
VS.03.01,LAB-2,True,46.0,True
VS.03.02,LAB-1,True,51.7,True
VS.03.02,LAB-2,True,49.3,True
VS.03.03,LAB-1,True,46.3,True
VS.03.03,LAB-2,True,46.3,True
VS.03.04,LAB-1,True,43.1,False
VS.03.04,LAB-2,True,49.0,True
VS.03.05,LAB-1,True,51.6,True
VS.03.05,LAB-2,True,51.6,True
VS.03.06,LAB-1,True,53.8,True
VS.03.06,LAB-2,True,62.0,True
VS.03.07,LAB-1,True,56.3,True
VS.03.07,LAB-2,True,48.7,True
VS.03.08,LAB-1,True,48.6,False
VS.03.08,LAB-2,True,53.0,True
VS.03.09,LAB-1,True,58.2,True
VS.03.09,LAB-2,True,53.8,True
VS.03.10,LAB-1,True,53.7,True
VS.03.10,LAB-2,True,63.4,True
VS.04.01,LAB-1,True,53.1,False
VS.04.01,LAB-2,True,59.0,True
VS.04.02,LAB-1,True,55.1,True
VS.04.02,LAB-2,True,55.1,True
VS.04.03,LAB-1,True,56.5,False
VS.04.03,LAB-2,True,63.4,True
VS.04.04,LAB-1,True,60.3,False
VS.04.04,LAB-2,True,64.8,True
VS.04.05,LAB-1,True,56.9,False
VS.04.05,LAB-2,True,56.5,True
VS.04.06,LAB-1,True,42.3,True
VS.04.06,LAB-2,True,38.3,True
VS.04.07,LAB-1,True,62.9,False
VS.04.07,LAB-2,True,62.8,True
VS.04.08,LAB-1,True,57.9,False
VS.04.08,LAB-2,True,61.0,True
VS.04.09,LAB-1,True,57.3,True
VS.04.09,LAB-2,True,54.6,True
VS.04.10,LAB-1,True,63.6,False
VS.04.10,LAB-2,True,61.6,True
VS.05.01,LAB-1,True,58.1,False
VS.05.01,LAB-2,True,63.8,True
VS.05.02,LAB-1,True,62.5,False
VS.05.02,LAB-2,True,62.6,True
VS.05.03,LAB-1,True,59.3,False
VS.05.03,LAB-2,True,70.8,False
VS.05.04,LAB-1,True,65.9,False
VS.05.04,LAB-2,True,74.8,False
VS.05.05,LAB-1,True,56.2,False
VS.05.05,LAB-2,True,57.8,True
VS.05.06,LAB-1,True,64.8,False
VS.05.06,LAB-2,True,70.5,False
VS.05.07,LAB-1,True,N/A,False
VS.05.07,LAB-2,True,-708.6,False
VS.05.08,LAB-1,True,51.1,False
VS.05.08,LAB-2,True,65.1,True
VS.05.09,LAB-1,True,58.0,False
VS.05.09,LAB-2,True,68.3,False
VS.05.10,LAB-1,True,53.3,False
VS.05.10,LAB-2,True,64.0,True
VS.06.01,LAB-1,True,57.3,False
VS.06.01,LAB-2,True,70.6,True
VS.06.02,LAB-1,True,59.9,False
VS.06.02,LAB-2,True,73.7,False
VS.06.03,LAB-1,True,60.2,False
VS.06.03,LAB-2,True,62.1,True
